Method,Label,Ed (eV),Z,m (u),r (pm),rho (g/cm^3),E_coh (eV/atom),E_ioniz (eV),alpha (1/K),R (Ohm*m),T_melt (K),E (GPa),CN,l_bond (A)
1,Ag,19.16666667,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
1,Au,20.17,79,196.96657,174,19.3,3.81,9.225236421,1.42e-05,2.2e-08,1337.33,78.0,12,2.95
1,C1,31.0,6,12.011,67,3.51,7.84,11.26077898,7e-07,1e+18,3873.15,1050.0,4,1.54
1,C2,31.0,6,12.011,67,2.07,7.41,11.26077898,4e-07,7.599999999999999e-06,3873.15,15.85,3,1.42
1,Cd,9.8,48,112.414,161,8.65,1.16,8.994113208,3.08e-05,7e-08,594.22,50.0,12,3.18
1,Co,27.8,27,58.933194,152,8.9,4.39,7.880990647,1.3e-05,6e-08,1768.15,209.0,12,2.47
1,Cu,14.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
1,Mg,11.0,12,24.305,145,1.738,1.51,7.645721725,2.5e-05,4.4e-08,923.15,45.0,12,3.17
1,Mo,27.0,42,95.95,190,10.28,6.82,7.092269726,4.8e-06,5e-08,2896.15,329.0,8,2.74
1,Nb,24.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
1,Pb,7.5,82,207.2,154,11.34,2.03,7.416671366,2.89e-05,2.1e-07,600.61,16.0,12,3.53
1,Ta,18.0,73,180.94788,200,16.65,8.1,7.887209208,6.3e-06,1.3e-07,3290.15,186.0,8,2.87
1,Ti,22.3,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
1,V,34.33,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
1,Zn,9.2,30,65.38,142,7.14,1.35,9.394174016,3.02e-05,5.9e-08,692.68,108.0,12,2.87
2,Ag,24.0,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
2,Al,16.0,13,26.9815384,118,2.7,3.39,5.985365726,2.31e-05,2.6e-08,933.47,70.0,12,2.86
2,Au,34.5,79,196.96657,174,19.3,3.81,9.225236421,1.42e-05,2.2e-08,1337.33,78.0,12,2.95
2,C1,35.0,6,12.011,67,3.51,7.84,11.26077898,7e-07,1e+18,3873.15,1050.0,4,1.54
2,C2,34.0,6,12.011,67,2.07,7.41,11.26077898,4e-07,7.599999999999999e-06,3873.15,15.85,3,1.42
2,Cd,19.0,48,112.414,161,8.65,1.16,8.994113208,3.08e-05,7e-08,594.22,50.0,12,3.18
2,Co,24.0,27,58.933194,152,8.9,4.39,7.880990647,1.3e-05,6e-08,1768.15,209.0,12,2.47
2,Cu,15.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
2,Fe,22.33333333,26,55.845,156,7.874,4.28,7.902755613,1.18e-05,9.7e-08,1811.15,211.0,8,2.48
2,Ge,14.5,32,72.63,125,5.323,3.85,7.897573478,6e-06,0.0005,1211.45,103.0,4,2.46
2,Ir,46.0,77,192.217,180,22.56,6.94,9.120557298,6.4e-06,4.7e-08,2739.15,528.0,12,2.73
2,Lu,17.0,71,174.9668,217,9.841,4.43,5.425695165,9.9e-06,5.6e-07,1936.15,69.0,12,3.46
2,Mg,10.0,12,24.305,145,1.738,1.51,7.645721725,2.5e-05,4.4e-08,923.15,45.0,12,3.17
2,Mo,36.0,42,95.95,190,10.28,6.82,7.092269726,4.8e-06,5e-08,2896.15,329.0,8,2.74
2,Nb,36.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
2,Ni,22.0,28,58.6934,149,8.908,4.44,7.639503164,1.34e-05,7e-08,1728.15,200.0,12,2.46
2,Pd,34.0,46,106.42,169,12.023,3.89,8.337018511,1.18e-05,1e-07,1828.05,121.0,12,2.77
2,Pt,37.0,78,195.084,177,21.45,5.84,9.016914601,8.8e-06,1.1e-07,2041.45,168.0,12,2.79
2,Si,12.9,14,28.085,111,2.33,4.63,8.151498085,2.6e-06,0.001,1687.15,47.0,12,2.7
2,Sn,22.0,50,118.71,145,7.31,3.14,7.344121478,2.2e-05,1.1e-07,505.08,50.0,6,3.1
2,Ta,32.0,73,180.94788,200,16.65,8.1,7.887209208,6.3e-06,1.3e-07,3290.15,186.0,8,2.87
2,Th,35.0,90,232.0377,237,11.724,6.2,6.083826288,1.1e-05,1.5e-07,2023.15,79.0,12,3.57
2,Ti,19.0,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
2,V,26.0,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
2,W,40.0,74,183.84,193,19.25,8.9,7.980487635,4.5e-06,5e-08,3695.15,411.0,8,2.75
2,Zn,14.5,30,65.38,142,7.14,1.35,9.394174016,3.02e-05,5.9e-08,692.68,108.0,12,2.87
2,Zr,21.0,40,91.224,206,6.511,6.25,6.634169007,5.7e-06,4.2e-07,2128.15,68.0,12,3.22
3,Ag,20.0,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
3,Al,14.0,13,26.9815384,118,2.7,3.39,5.985365726,2.31e-05,2.6e-08,933.47,70.0,12,2.86
3,Au,36.0,79,196.96657,174,19.3,3.81,9.225236421,1.42e-05,2.2e-08,1337.33,78.0,12,2.95
3,Be,21.0,4,9.0121831,112,1.848,3.32,9.322660556,1.13e-05,4e-08,1560.15,287.0,12,2.24
3,C1,70.0,6,12.011,67,3.51,7.84,11.26077898,7e-07,1e+18,3873.15,1050.0,4,1.54
3,C2,22.0,6,12.011,67,2.07,7.41,11.26077898,4e-07,7.599999999999999e-06,3873.15,15.85,3,1.42
3,Co,40.0,27,58.933194,152,8.9,4.39,7.880990647,1.3e-05,6e-08,1768.15,209.0,12,2.47
3,Cr,40.0,24,51.9961,166,7.19,4.1,6.766831659,4.9e-06,1.3e-07,2180.15,279.0,8,2.57
3,Cu,18.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
3,Fe,18.0,26,55.845,156,7.874,4.28,7.902755613,1.18e-05,9.7e-08,1811.15,211.0,8,2.48
3,Mn,40.0,25,54.938043,161,7.47,2.92,7.434290624,2.17e-05,1.6e-06,1519.15,198.0,16,2.84
3,Mo,38.0,42,95.95,190,10.28,6.82,7.092269726,4.8e-06,5e-08,2896.15,329.0,8,2.74
3,Nb,20.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
3,Ni,38.0,28,58.6934,149,8.908,4.44,7.639503164,1.34e-05,7e-08,1728.15,200.0,12,2.46
3,Pb,25.0,82,207.2,154,11.34,2.03,7.416671366,2.89e-05,2.1e-07,600.61,16.0,12,3.53
3,Si,11.0,14,28.085,111,2.33,4.63,8.151498085,2.6e-06,0.001,1687.15,47.0,12,2.7
3,Ta,60.0,73,180.94788,200,16.65,8.1,7.887209208,6.3e-06,1.3e-07,3290.15,186.0,8,2.87
3,Ti,12.0,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
3,U1,35.6,92,238.02891,240,19.05,5.55,6.193687547,1.39e-05,2.8e-07,1408.15,208.0,8,2.9
3,U2,66.3,92,238.02891,240,21.15,5.55,6.193687547,1.39e-05,2.8e-07,1408.15,208.0,8,2.9
3,V,12.0,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
3,W,36.0,74,183.84,193,19.25,8.9,7.980487635,4.5e-06,5e-08,3695.15,411.0,8,2.75
3,Zr,16.0,40,91.224,206,6.511,6.25,6.634169007,5.7e-06,4.2e-07,2128.15,68.0,12,3.22
6,Ag,24.0,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
6,Al,16.0,13,26.9815384,118,2.7,3.39,5.985365726,2.31e-05,2.6e-08,933.47,70.0,12,2.86
6,Cu,25.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
6,Fe,29.0,26,55.845,156,7.874,4.28,7.902755613,1.18e-05,9.7e-08,1811.15,211.0,8,2.48
6,Ge,21.0,32,72.63,125,5.323,3.85,7.897573478,6e-06,0.0005,1211.45,103.0,4,2.46
6,Nb,28.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
6,Ni,27.0,28,58.6934,149,8.908,4.44,7.639503164,1.34e-05,7e-08,1728.15,200.0,12,2.46
6,Si,23.0,14,28.085,111,2.33,4.63,8.151498085,2.6e-06,0.001,1687.15,47.0,12,2.7
6,Ti,23.0,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
6,V,26.0,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
6,W,48.0,74,183.84,193,19.25,8.9,7.980487635,4.5e-06,5e-08,3695.15,411.0,8,2.75
6,Zr,20.0,40,91.224,206,6.511,6.25,6.634169007,5.7e-06,4.2e-07,2128.15,68.0,12,3.22
